+---------------------------------------------------------------+
|            P R I M E S   F R O M   1   TO   9999              |
+---------------------------------------------------------------+

Author: Roupam Ghosh
Date:   29-02-2004
 3769         is a prime
 3779         is a prime
 3793         is a prime
 3797         is a prime
 3803         is a prime
 3821         is a prime
 3823         is a prime
 3833         is a prime
 3847         is a prime
 3851         is a prime
 3853         is a prime
 3863         is a prime
 3877         is a prime
 3881         is a prime
 3889         is a prime
 3907         is a prime
 3911         is a prime
 3917         is a prime
 3919         is a prime
 3923         is a prime
 3929         is a prime
 3931         is a prime
 3943         is a prime
 3947         is a prime
 3967         is a prime
 3989         is a prime
 4001         is a prime
 4003         is a prime
 4007         is a prime
 4013         is a prime
 4019         is a prime
 4021         is a prime
 4027         is a prime
 4049         is a prime
 4051         is a prime
 4057         is a prime
 4073         is a prime
 4079         is a prime
 4091         is a prime
 4093         is a prime
 4099         is a prime
 4111         is a prime
 4127         is a prime
 4129         is a prime
 4133         is a prime
 4139         is a prime
 4153         is a prime
 4157         is a prime
 4159         is a prime
 4177         is a prime
 4201         is a prime
 4211         is a prime
 4217         is a prime
 4219         is a prime
 4229         is a prime
 4231         is a prime
 4241         is a prime
 4243         is a prime
 4253         is a prime
 4259         is a prime
 4261         is a prime
 4271         is a prime
 4273         is a prime
 4283         is a prime
 4289         is a prime
 4297         is a prime
 4327         is a prime
 4337         is a prime
 4339         is a prime
 4349         is a prime
 4357         is a prime
 4363         is a prime
 4373         is a prime
 4391         is a prime
 4397         is a prime
 4409         is a prime
 4421         is a prime
 4423         is a prime
 4441         is a prime
 4447         is a prime
 4451         is a prime
 4457         is a prime
 4463         is a prime
 4481         is a prime
 4483         is a prime
 4493         is a prime
 4507         is a prime
 4513         is a prime
 4517         is a prime
 4519         is a prime
 4523         is a prime
 4547         is a prime
 4549         is a prime
 4561         is a prime
 4567         is a prime
 4583         is a prime
 4591         is a prime
 4597         is a prime
 4603         is a prime
 4621         is a prime
 4637         is a prime
 4639         is a prime
 4643         is a prime
 4649         is a prime
 4651         is a prime
 4657         is a prime
 4663         is a prime
 4673         is a prime
 4679         is a prime
 4691         is a prime
 4703         is a prime
 4721         is a prime
 4723         is a prime
 4729         is a prime
 4733         is a prime
 4751         is a prime
 4759         is a prime
 4783         is a prime
 4787         is a prime
 4789         is a prime
 4793         is a prime
 4799         is a prime
 4801         is a prime
 4813         is a prime
 4817         is a prime
 4831         is a prime
 4861         is a prime
 4871         is a prime
 4877         is a prime
 4889         is a prime
 4903         is a prime
 4909         is a prime
 4919         is a prime
 4931         is a prime
 4933         is a prime
 4937         is a prime
 4943         is a prime
 4951         is a prime
 4957         is a prime
 4967         is a prime
 4969         is a prime
 4973         is a prime
 4987         is a prime
 4993         is a prime
 4999         is a prime
 5003         is a prime
 5009         is a prime
 5011         is a prime
 5021         is a prime
 5023         is a prime
 5039         is a prime
 5051         is a prime
 5059         is a prime
 5077         is a prime
 5081         is a prime
 5087         is a prime
 5099         is a prime
 5101         is a prime
 5107         is a prime
 5113         is a prime
 5119         is a prime
 5147         is a prime
 5153         is a prime
 5167         is a prime
 5171         is a prime
 5179         is a prime
 5189         is a prime
 5197         is a prime
 5209         is a prime
 5227         is a prime
 5231         is a prime
 5233         is a prime
 5237         is a prime
 5261         is a prime
 5273         is a prime
 5279         is a prime
 5281         is a prime
 5297         is a prime
 5303         is a prime
 5309         is a prime
 5323         is a prime
 5333         is a prime
 5347         is a prime
 5351         is a prime
 5381         is a prime
 5387         is a prime
 5393         is a prime
 5399         is a prime
 5407         is a prime
 5413         is a prime
 5417         is a prime
 5419         is a prime
 5431         is a prime
 5437         is a prime
 5441         is a prime
 5443         is a prime
 5449         is a prime
 5471         is a prime
 5477         is a prime
 5479         is a prime
 5483         is a prime
 5501         is a prime
 5503         is a prime
 5507         is a prime
 5519         is a prime
 5521         is a prime
 5527         is a prime
 5531         is a prime
 5557         is a prime
 5563         is a prime
 5569         is a prime
 5573         is a prime
 5581         is a prime
 5591         is a prime
 5623         is a prime
 5639         is a prime
 5641         is a prime
 5647         is a prime
 5651         is a prime
 5653         is a prime
 5657         is a prime
 5659         is a prime
 5669         is a prime
 5683         is a prime
 5689         is a prime
 5693         is a prime
 5701         is a prime
 5711         is a prime
 5717         is a prime
 5737         is a prime
 5741         is a prime
 5743         is a prime
 5749         is a prime
 5779         is a prime
 5783         is a prime
 5791         is a prime
 5801         is a prime
 5807         is a prime
 5813         is a prime
 5821         is a prime
 5827         is a prime
 5839         is a prime
 5843         is a prime
 5849         is a prime
 5851         is a prime
 5857         is a prime
 5861         is a prime
 5867         is a prime
 5869         is a prime
 5879         is a prime
 5881         is a prime
 5897         is a prime
 5903         is a prime
 5923         is a prime
 5927         is a prime
 5939         is a prime
 5953         is a prime
 5981         is a prime
 5987         is a prime
 6007         is a prime
 6011         is a prime
 6029         is a prime
 6037         is a prime
 6043         is a prime
 6047         is a prime
 6053         is a prime
 6067         is a prime
 6073         is a prime
 6079         is a prime
 6089         is a prime
 6091         is a prime
 6101         is a prime
 6113         is a prime
 6121         is a prime
 6131         is a prime
 6133         is a prime
 6143         is a prime
 6151         is a prime
 6163         is a prime
 6173         is a prime
 6197         is a prime
 6199         is a prime
 6203         is a prime
 6211         is a prime
 6217         is a prime
 6221         is a prime
 6229         is a prime
 6247         is a prime
 6257         is a prime
 6263         is a prime
 6269         is a prime
 6271         is a prime
 6277         is a prime
 6287         is a prime
 6299         is a prime
 6301         is a prime
 6311         is a prime
 6317         is a prime
 6323         is a prime
 6329         is a prime
 6337         is a prime
 6343         is a prime
 6353         is a prime
 6359         is a prime
 6361         is a prime
 6367         is a prime
 6373         is a prime
 6379         is a prime
 6389         is a prime
 6397         is a prime
 6421         is a prime
 6427         is a prime
 6449         is a prime
 6451         is a prime
 6469         is a prime
 6473         is a prime
 6481         is a prime
 6491         is a prime
 6521         is a prime
 6529         is a prime
 6547         is a prime
 6551         is a prime
 6553         is a prime
 6563         is a prime
 6569         is a prime
 6571         is a prime
 6577         is a prime
 6581         is a prime
 6599         is a prime
 6607         is a prime
 6619         is a prime
 6637         is a prime
 6653         is a prime
 6659         is a prime
 6661         is a prime
 6673         is a prime
 6679         is a prime
 6689         is a prime
 6691         is a prime
 6701         is a prime
 6703         is a prime
 6709         is a prime
 6719         is a prime
 6733         is a prime
 6737         is a prime
 6761         is a prime
 6763         is a prime
 6779         is a prime
 6781         is a prime
 6791         is a prime
 6793         is a prime
 6803         is a prime
 6823         is a prime
 6827         is a prime
 6829         is a prime
 6833         is a prime
 6841         is a prime
 6857         is a prime
 6863         is a prime
 6869         is a prime
 6871         is a prime
 6883         is a prime
 6899         is a prime
 6907         is a prime
 6911         is a prime
 6917         is a prime
 6947         is a prime
 6949         is a prime
 6959         is a prime
 6961         is a prime
 6967         is a prime
 6971         is a prime
 6977         is a prime
 6983         is a prime
 6991         is a prime
 6997         is a prime
 7001         is a prime
 7013         is a prime
 7019         is a prime
 7027         is a prime
 7039         is a prime
 7043         is a prime
 7057         is a prime
 7069         is a prime
 7079         is a prime
 7103         is a prime
 7109         is a prime
 7121         is a prime
 7127         is a prime
 7129         is a prime
 7151         is a prime
 7159         is a prime
 7177         is a prime
 7187         is a prime
 7193         is a prime
 7207         is a prime
 7211         is a prime
 7213         is a prime
 7219         is a prime
 7229         is a prime
 7237         is a prime
 7243         is a prime
 7247         is a prime
 7253         is a prime
 7283         is a prime
 7297         is a prime
 7307         is a prime
 7309         is a prime
 7321         is a prime
 7331         is a prime
 7333         is a prime
 7349         is a prime
 7351         is a prime
 7369         is a prime
 7393         is a prime
 7411         is a prime
 7417         is a prime
 7433         is a prime
 7451         is a prime
 7457         is a prime
 7459         is a prime
 7477         is a prime
 7481         is a prime
 7487         is a prime
 7489         is a prime
 7499         is a prime
 7507         is a prime
 7517         is a prime
 7523         is a prime
 7529         is a prime
 7537         is a prime
 7541         is a prime
 7547         is a prime
 7549         is a prime
 7559         is a prime
 7561         is a prime
 7573         is a prime
 7577         is a prime
 7583         is a prime
 7589         is a prime
 7591         is a prime
 7603         is a prime
 7607         is a prime
 7621         is a prime
 7639         is a prime
 7643         is a prime
 7649         is a prime
 7669         is a prime
 7673         is a prime
 7681         is a prime
 7687         is a prime
 7691         is a prime
 7699         is a prime
 7703         is a prime
 7717         is a prime
 7723         is a prime
 7727         is a prime
 7741         is a prime
 7753         is a prime
 7757         is a prime
 7759         is a prime
 7789         is a prime
 7793         is a prime
 7817         is a prime
 7823         is a prime
 7829         is a prime
 7841         is a prime
 7853         is a prime
 7867         is a prime
 7873         is a prime
 7877         is a prime
 7879         is a prime
 7883         is a prime
 7901         is a prime
 7907         is a prime
 7919         is a prime
 7927         is a prime
 7933         is a prime
 7937         is a prime
 7949         is a prime
 7951         is a prime
 7963         is a prime
 7993         is a prime
 8009         is a prime
 8011         is a prime
 8017         is a prime
 8039         is a prime
 8053         is a prime
 8059         is a prime
 8069         is a prime
 8081         is a prime
 8087         is a prime
 8089         is a prime
 8093         is a prime
 8101         is a prime
 8111         is a prime
 8117         is a prime
 8123         is a prime
 8147         is a prime
 8161         is a prime
 8167         is a prime
 8171         is a prime
 8179         is a prime
 8191         is a prime
 8209         is a prime
 8219         is a prime
 8221         is a prime
 8231         is a prime
 8233         is a prime
 8237         is a prime
 8243         is a prime
 8263         is a prime
 8269         is a prime
 8273         is a prime
 8287         is a prime
 8291         is a prime
 8293         is a prime
 8297         is a prime
 8311         is a prime
 8317         is a prime
 8329         is a prime
 8353         is a prime
 8363         is a prime
 8369         is a prime
 8377         is a prime
 8387         is a prime
 8389         is a prime
 8419         is a prime
 8423         is a prime
 8429         is a prime
 8431         is a prime
 8443         is a prime
 8447         is a prime
 8461         is a prime
 8467         is a prime
 8501         is a prime
 8513         is a prime
 8521         is a prime
 8527         is a prime
 8537         is a prime
 8539         is a prime
 8543         is a prime
 8563         is a prime
 8573         is a prime
 8581         is a prime
 8597         is a prime
 8599         is a prime
 8609         is a prime
 8623         is a prime
 8627         is a prime
 8629         is a prime
 8641         is a prime
 8647         is a prime
 8663         is a prime
 8669         is a prime
 8677         is a prime
 8681         is a prime
 8689         is a prime
 8693         is a prime
 8699         is a prime
 8707         is a prime
 8713         is a prime
 8719         is a prime
 8731         is a prime
 8737         is a prime
 8741         is a prime
 8747         is a prime
 8753         is a prime
 8761         is a prime
 8779         is a prime
 8783         is a prime
 8803         is a prime
 8807         is a prime
 8819         is a prime
 8821         is a prime
 8831         is a prime
 8837         is a prime
 8839         is a prime
 8849         is a prime
 8861         is a prime
 8863         is a prime
 8867         is a prime
 8887         is a prime
 8893         is a prime
 8923         is a prime
 8929         is a prime
 8933         is a prime
 8941         is a prime
 8951         is a prime
 8963         is a prime
 8969         is a prime
 8971         is a prime
 8999         is a prime
 9001         is a prime
 9007         is a prime
 9011         is a prime
 9013         is a prime
 9029         is a prime
 9041         is a prime
 9043         is a prime
 9049         is a prime
 9059         is a prime
 9067         is a prime
 9091         is a prime
 9103         is a prime
 9109         is a prime
 9127         is a prime
 9133         is a prime
 9137         is a prime
 9151         is a prime
 9157         is a prime
 9161         is a prime
 9173         is a prime
 9181         is a prime
 9187         is a prime
 9199         is a prime
 9203         is a prime
 9209         is a prime
 9221         is a prime
 9227         is a prime
 9239         is a prime
 9241         is a prime
 9257         is a prime
 9277         is a prime
 9281         is a prime
 9283         is a prime
 9293         is a prime
 9311         is a prime
 9319         is a prime
 9323         is a prime
 9337         is a prime
 9341         is a prime
 9343         is a prime
 9349         is a prime
 9371         is a prime
 9377         is a prime
 9391         is a prime
 9397         is a prime
 9403         is a prime
 9413         is a prime
 9419         is a prime
 9421         is a prime
 9431         is a prime
 9433         is a prime
 9437         is a prime
 9439         is a prime
 9461         is a prime
 9463         is a prime
 9467         is a prime
 9473         is a prime
 9479         is a prime
 9491         is a prime
 9497         is a prime
 9511         is a prime
 9521         is a prime
 9533         is a prime
 9539         is a prime
 9547         is a prime
 9551         is a prime
 9587         is a prime
 9601         is a prime
 9613         is a prime
 9619         is a prime
 9623         is a prime
 9629         is a prime
 9631         is a prime
 9643         is a prime
 9649         is a prime
 9661         is a prime
 9677         is a prime
 9679         is a prime
 9689         is a prime
 9697         is a prime
 9719         is a prime
 9721         is a prime
 9733         is a prime
 9739         is a prime
 9743         is a prime
 9749         is a prime
 9767         is a prime
 9769         is a prime
 9781         is a prime
 9787         is a prime
 9791         is a prime
 9803         is a prime
 9811         is a prime
 9817         is a prime
 9829         is a prime
 9833         is a prime
 9839         is a prime
 9851         is a prime
 9857         is a prime
 9859         is a prime
 9871         is a prime
 9883         is a prime
 9887         is a prime
 9901         is a prime
 9907         is a prime
 9923         is a prime
 9929         is a prime
 9931         is a prime
 9941         is a prime
 9949         is a prime
 9967         is a prime
 9973         is a prime
